id,marketplace,review_date,customer_id,review_id,product_id,product_parent,product_title,product_category,total_rating,product_rating,shipment_rating,seller_rating,helpful_votes,total_votes,review_headline,review_body
0,US,31-08-2015,16414143,R3W4P9UBGNGH1U,B00YL0EKWE,852431543,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,2,2,,,1,3,"Looks good, functions meh","2 issues - Once I turned on the circle apps and installed this case, my battery drained twice as fast as usual. I ended up turning off the circle apps, which kind of makes the case just a case... with a hole in it. Second, the wireless charging doesn't work. I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice."
1,US,31-08-2015,50800750,R15V54KBMTQWAY,B00XK95RPQ,516894650,Selfie Stick Fiblastiq&trade; Extendable Wireless Bluetooth Selfie Stick with built-in Bluetooth Adjustable Phone Holder,Wireless,4,4,,,0,0,A fun little gadget,"I’m embarrassed to admit that until recently, I have had a very negative opinion about “selfie sticks” aka “monopods” aka “narcissticks.” But having reviewed a number of them recently, they’re growing on me. This one is pretty nice and simple to set up and with easy instructions illustrated on the back of the box (not sure why some reviewers have stated that there are no instructions when they are clearly printed on the box unless they received different packaging than I did). Once assembled, the pairing via bluetooth and use of the stick are easy and intuitive. Nothing to it. The stick comes with a USB charging cable but arrived with a charge so you can use it immediately, though it’s probably a good idea to charge it right away so that you have no interruption of use out of the box. Make sure the stick is switched to on (it will light up) and extend your stick to the length you desire up to about a yard’s length and snap away. The phone clamp held the phone sturdily so I wasn’t worried about it slipping out. But the longer you extend the stick, the harder it is to maneuver. But that will happen with any stick and is not specific to this one in particular. Two things that could improve this: 1) add the option to clamp this in portrait orientation instead of having to try and hold the stick at the portrait angle, which makes it feel unstable; 2) add the opening for a tripod so that this can be used to sit upright on a table for skyping and facetime eliminating the need to hold the phone up with your hand, causing fatigue. But other than that, this is a nice quality monopod for a variety of picture taking opportunities. I received a sample in exchange for my honest opinion."
2,US,31-08-2015,15184378,RY8I449HNXSVF,B00SXRXUKO,984297154,"Tribe AB40 Water Resistant Sports Armband with Key Holder for 4.7-Inch iPhone 6S/6/5/5S/5C, Galaxy S4 + Screen Protector - Dark Pink",Wireless,5,5,,,0,0,Five Stars,Fits iPhone 6 well
3,US,31-08-2015,10203548,R18TLJYCKJFLSR,B009V5X1CE,279912704,"RAVPower® Element 10400mAh External Battery USB Portable Charger (Dual USB Outputs, Ultra Compact Design), Travel Charger for iPhone 6,iPhone 6 plus,iPhone 5, 5S, 5C, 4S, 4, iPad Air, 4, 3, 2, Mini 2 (Apple adapters not included); Samsung Galaxy S5, S4, S3, S2, Note 3, Note 2; HTC One, EVO, Thunderbolt, Incredible, Droid DNA, Motorola ATRIX, Droid, Moto X, Google Glass, Nexus 4, Nexus 5, Nexus 7,",Wireless,5,5,,,0,0,Great charger,Great charger. I easily get 3+ charges on a Samsung Galaxy 3. Works perfectly for camping trips or long days on the boat.
4,US,31-08-2015,488280,R1NK26SWS53B8Q,B00D93OVF0,662791300,"Fosmon Micro USB Value Pack Bundle for Samsung Galaxy Exhilarate - Includes Home / Travel Charger, Car / Vehicle Charger and USB Cable",Wireless,5,5,,,0,0,Five Stars,Great for the price :-)
5,US,31-08-2015,13334021,R11LOHEDYJALTN,B00XVGJMDQ,421688488,"iPhone 6 Case, Vofolen Impact Resistant Protective Shell iPhone 6S Wallet Cover Shockproof Rubber Bumper Case Anti-scratches Hard Cover Skin Card Slot Holder for iPhone 6 6S",Wireless,5,5,,,0,0,Five Stars,"Great Case, better customer service!"
6,US,31-08-2015,27520697,R3ALQVQB2P9LA7,B00KQW1X1C,554285554,Nokia Lumia 630 RM-978 White Factory Unlocked - International Version No Warranty,Wireless,4,4,,,0,0,Four Stars,Easy to set up and use. Great functions for the price
7,US,31-08-2015,48086021,R3MWLXLNO21PDQ,B00IP1MQNK,488006702,Lumsing 10400mah external battery,Wireless,5,5,,,0,0,Five Stars,Works great
8,US,31-08-2015,12738196,R2L15IS24CX0LI,B00HVORET8,389677711,"iPhone 5S Battery Case - iPhone 5 Battery Case , Maxboost Atomic S [MFI Certified] External Protective Battery Charging Case Power Bank Charger All Versions of Apple iPhone 5/5S [Juice Battery Pack]",Wireless,5,5,,,0,0,So far so good,So far so good. It is essentially identical to the one it replaced from another company. That one stopped working after 7 months so I am a bit apprehensive about this one.
9,US,31-08-2015,15867807,R1DJ8976WPWVZU,B00HX3G6J6,299654876,"HTC One M8 Screen Protector, Skinomi TechSkin Full Coverage Screen Protector for HTC One M8 Clear HD Anti-Bubble Film",Wireless,3,3,,,0,0,seems durable but these are always harder to get on ...,"seems durable but these are always harder to get on right than people make them out to be. also send to curl up at the edges after a while. with today's smartphones, you hardly need screen protectors anyway."
10,US,31-08-2015,1972249,R3MRWNNR8CBTB7,B00U4NATNQ,577878727,S6 Case - Bear Motion for Galaxy S6 - Premium Back Cover for Samsung Galaxy S6 - Sand (Black),Wireless,5,5,,,0,0,"Super thin, lightweight","Super thin, lightweight, and non intrusive. Feels amazing, isn't add protective as other cases but I get to enjoy and show off my phone more."
11,US,31-08-2015,10956619,R1DS6DKTUXAQK3,B00SZEFDH8,654620704,"BLU Studio X, Unlocked Cell Phone",Wireless,5,5,,,0,0,Five Stars,"As good as the Samsung Galaxies, in my opinion."
12,US,31-08-2015,14805911,RWJM5E0TWUJD2,B00JRJUL9U,391166958,"EZOPower 5-Port Usb Car Charger with 3-Feet Extension Cord, 8-Amp, 40-Watts, Black",Wireless,5,5,,,0,0,EZOPower,"I received this on time and its great. I went on a long trip and used it. I have an iPhone 4 s a BLU Android phone and my husband has a small flip phone, it worked great on all of them and I also had a blue tooth I charged on it."
13,US,31-08-2015,15611116,R1XTJKDYNCRGAC,B00KQ4T0HE,481551630,iPhone 6S Case &iPhone 6 Case Perfect designed 3D Phone cover for i6/6s Cute bulldog Colourful case for iphone6/6s-PC case,Wireless,1,1,,,0,0,Very cheap case. This not protect anything. Very ...,Very cheap case. This not protect anything. Very fragil.!! After i got it I went to buy a otter case expensive but worth it.
14,US,31-08-2015,39298603,R2UZL3DPWEU1XW,B00M0YWKPM,685107474,iPhone 6s Plus Case,Wireless,5,5,,,0,0,Five Stars,son loves it.
15,US,31-08-2015,17552454,R2EZXET9KBFFU3,B00KDZEE68,148320945,"zBoost ZB575-A TRIO SOHO Tri Band AT&T 4G Cell Phone Signal Booster, up to 2,500 sq. ft.",Wireless,1,1,,,0,0,One Star,you have to turn power off to this unit once or twice a day to keep it working
16,US,31-08-2015,12218556,R26VY1L1FD3LPU,B00BJN45GM,47788188,OtterBox Defender Series Case for HTC One,Wireless,5,5,,,0,0,Five Stars,"Awesome, thank you"
17,US,31-08-2015,21872923,R2SSA4NSFCV18T,B00SA86SXW,748759272,"Aduro PowerUP 30W 4-Port (6A Total) PWC-4U Charging Station / USB Travel Wall Charger / USB Desktop Charger for iPhone, iPad, Samsung Galaxy, Nexus, HTC, Motorola, LG and More",Wireless,5,5,,,0,0,Five Stars,"nice, smart"
18,US,31-08-2015,16264332,R1G6333JHJNEUQ,B00Q3I68TU,974085141,LilGadgets Connect+ Premium Volume Limited Wired Headphones with SharePort for Children / Kids,Wireless,5,5,,,0,0,Great headphones for kids,We love these headphones. We had a pair each for our 2 and 4 year old. They loved them and thought it was great that they could share one device but each have their own set of headphones. Very comfortable as well.
19,US,31-08-2015,6042304,R2DRG0UZXJQ0PE,B00TN4J1TA,716174627,"Anker Aluminum Multi-Angle Universal Phone and Tablet Stand for iPhone, iPad, Samsung Galaxy, HTC, Nexus and More (Silver)",Wireless,5,5,,,0,0,Five Stars,This is well worth the money.
20,US,31-08-2015,4811414,R3SPEGYBROLSP1,B00QQTFYAA,194128090,"S5 Cable, Galaxy S5 Cable - Charging Sync Cable Cord Wire - Samsung Compatibile Galaxy S5, Note 3 Cable, Note 4 Cables",Wireless,1,1,,,1,1,One Star,This cord didn't work at all
21,US,31-08-2015,16060664,R3F2UCQP76K15C,B009NLTW60,135929473,Kinivo BTC450 Bluetooth Hands-Free Car Kit for Cars with Aux Input Jack (3.5 mm) - Supports AptX,Wireless,5,5,,,0,0,I was later able to completely hide all the wires under my dash which made me even happier. I will periodically update on this d,"Initial review after having this Kinivo for 48 hours? This has been what I've been searching for the last few years trying to use a system to sync up my calls and music. I've used the motorola tx550 (terrible), Satechi Soundfly BT, and numerous other failed devices. I was not only able to set this up in literally under a minute, I was later able to completely hide all the wires under my dash which made me even happier. I will periodically update on this device."
22,US,31-08-2015,44078192,R2L3WX7SMIV8FH,B0113ISNRE,909555271,"Amoner Durable-Series 10ft 8 Pin USB Charging Cable Syncing Cord, 3 Piece - White",Wireless,5,5,,,0,0,Great cords!!,"Great cords!! 10ft cords for this price? And they all work just fine, will buy these again!"
23,US,31-08-2015,2873589,R34KV4IES8WA1N,B00ZBGVBOC,414657030,"BestElec Micro Bundle 3-in-1 Economy Home and Car Charger Kit,?USB AC Universal Power Home Wall Travel Charger Adapter Outlet?+ 4.2Amp Intelligent Dual-Port Rapid USB Car Charger Cigarette Charger?+?High Speed Premium (1M/3Feet) Long Flat Micro USB 2.0 Type A to Micro-B Braided Rope Sync Data Charger Cable Charging Cord",Wireless,1,1,,,0,0,One Star,The car plug in broke within a week of using it.
24,US,31-08-2015,5835682,RNE3IY22V95PL,B010VRQX7K,453248560,"Universal Pu Leather Folding Folio Case Cover with Keyboard for Alcatel Onetouch POP 7s , Pixi 7 , POP 8 , POP 7 , T10, Evo 7 , Evo 7 Hd , Tab 8 Hd, Tab 7 , Tab 7 Hd/ Alcatel One Touch Evo 8hd 8 Inch /",Wireless,5,5,,,1,1,Pairs well with my alcatel onetouch pop 7 tablet,"Excellent addition to my alcatel one touch pop 7, case is attractive and we'll made, the keyboard works great with my tablet .. this product brings my tablet to a new level"
25,US,31-08-2015,27545517,R65NIT67FDJ0H,B012QTQPOM,754587000,Bluetooth Headphones TOSHENG In-Ear Wireless Hands-free Phone Earphone Sport Earbuds,Wireless,4,4,,,0,0,Not bad at all.,"Not bad. I LOVE these style of Bluetooth headsets. This one is slightly different from my very first pair I got over a year ago. They are the same shape but this one is not as finished as my current set. The sound quality is not as clear as my QCY set but is pretty good. It has a nice balance of sound and the bass is sufficient. The sound quality is not like those expensive Beats or bose headphones, but it’s good enough for the price point. These go in the ear so it does block sound out. It blocks noise out so well that when I’m using these in the office, I can get more work done because I don’t hear the chatter of people around me. These use your standard micro usb cables so there’s no fear if you lose the cable that this set comes with. It charges up full in about an hour from dead and right out of the box it charged up in about 30 minutes. The battery life lasts me about 3 work days before needing to be recharged and that includes using it while on the way home from work which is a one hour minimum drive to and from the office. When using this for phone calls, you must leave the left ear piece hanging down around your neck. The microphone is on that earpiece. If you leave it in your ear, the person on the other end will not hear you clearly because the mic will be by your ear. The one thing this set is missing is a clip so you can clip that ear piece onto your collar for phone calls. If you’re like me and always moving around, if the earpieces shuffles around, the person on the phone can hear all the movement. Also, the volume button. It is very temperamental. When I try to hit volume up, I barely touch it and it adjusts volume. When I press down on it adjust volume it has a slow reaction. It’s almost like it works like a touch screen. Holding down the volume up and down buttons while listening to music will skip forward and back on your song list. With very minimal buttons, this is a very easy headset to use. It comes with an instructional booklet complete with photo to show you where the buttons and mic are. It comes with multiple ear pieces so you can change them out to the most comfortable size for you. I was provided a promotional sample for my honest review.s with an instructional booklet complete with photo to show you where the buttons and mic are. It comes with multiple ear pieces so you can change them out to the most comfortable size for you. I was provided a promotional sample for my honest review."
26,US,31-08-2015,21028313,R1KGBXK80M1R30,B00N4OL0RQ,11791847,"Waterproof Case, E LV Universal Waterproof Case For Apple 6 5S, 5, 4S Galaxy S6 Edge, S6, S5, S4 S3, HTC One, iPod touch, MP3 Player and many more (Fits other Smartphones up to 5.1"" diagonal) - IPX8 Certified to 100 Feet",Wireless,5,5,,,0,0,No water here,"Daughter couldn't go down the river without her phone, so we had to get a case. This worked perfectly. Not so big that it was hard to carry, and kept the water out! She keeps it in the bathroom now and uses it when she takes a bath. Glad it works!"
27,US,31-08-2015,23129086,R3MN996N2GO2RD,B003K7F82K,190427943,Ear Hook Kit Replacement for Bluetooth earhook COMPATABLE: Lg-hbm 230 Motorola h12 h15 H270 h371 h375 h385 h390 h560 h620 h680 h681 h690 h695 h780 h790 HK100 HK200 & Plantronics 925 975 M100,Wireless,4,4,,,0,0,Four Stars,"Foam not good, clips ok so far..."
28,US,31-08-2015,6432063,R18PBERCEATYEO,B00AMPHJOS,431730593,Oem Samsung Galaxy Stratosphere 2 II Shell Combo w/Holster & Kickstand I415,Wireless,2,2,,,0,0,Two Stars,right after I posted favorable review I noticed it was broken.
29,US,31-08-2015,9979312,R1576WSQIOU45F,B00NMNYJX6,601065808,"Minisuit SPORTY Armband + Key Holder for Apple iPhone 6 Plus, 6S Plus (5.5"")",Wireless,5,5,,,0,0,Five Stars,very good
30,US,31-08-2015,132280,R2ZYZJI6R9ATDL,B00JQI2G5O,362894080,Spigen Slim Armor LG G3 Case with Air Cushion Technology and Hybrid Drop Protection for LG G3 2014,Wireless,5,5,,,0,0,Five Stars,ok
